event_id,toa_mjd_bary
B546,59894.802694834070
B547,59894.804764754270
B548,59894.806514686788
B550,59894.810024551385
B551,59894.818824211638
B552,59894.822914053599
B553,59894.827153889652
B554,59894.829563796433
B555,59894.835393570793
B556,59894.843463258148
B558,59898.786053518095
B559,59898.787513456431
B560,59898.788603410401
B561,59898.795473120073
B562,59898.799042969113
B563,59898.799622944578
B564,59898.800822893812
B565,59898.801952845999
B566,59898.803032800308
B567,59898.803792768143
B568,59898.806832639457
B569,59898.809172540372
B570,59898.811002462870
B571,59898.812562396786
B572,59898.816502229813
B574,59898.820162074640
B575,59898.820252070822
B576,59898.821572014844
B577,59898.823111949518
B578,59898.833441511000
B579,59899.786940690865
B583,59899.788800610600
B584,59899.789040600241
B581,59899.789300589022
B582,59899.792030471173
B585,59899.793030428002
B586,59899.796050297577
B587,59899.797220247034
B588,59899.803509975187
B589,59899.804149947515
B590,59899.810459674583
B591,59899.811449631743
B592,59899.811679621787
B593,59899.812399590621
B595,59900.779707322159
B597,59900.781317251298
B598,59900.781517242489
B596,59900.782037219593
B600,59900.782417202863
B599,59900.783487155757
B601,59900.784367117005
B604,59900.786947003369
B605,59900.787276988827
B606,59900.792176772906
B607,59900.792186772465
B608,59900.794206683415
B609,59900.798556491573
B611,59900.800286415251
B610,59900.800436408637
B612,59900.801316369805
B613,59900.802946297874
B614,59900.806446143368
B616,59900.809955988356
B617,59900.812145891607
B619,59900.812895858464
B620,59900.817895637469
B622,59900.818475611821
B623,59900.822125450395
B624,59900.823975368548
B625,59900.827005234467
B626,59901.771083142878
B627,59901.773423037892
B628,59901.777892837257
B629,59901.779842749704
B630,59901.780412724103
B631,59901.783112602832
B633,59901.783692576777
B634,59901.783742574531
B632,59901.784912521958
B635,59901.785442498149
B636,59901.796661993649
B637,59901.797691947300
B639,59901.799541864049
B640,59901.800131837488
B641,59901.802571727647
B642,59901.804731630378
B643,59901.806461552464
B645,59904.776624014106
B646,59904.785673584141
B647,59904.792953237964
B649,59904.793803197521
B648,59904.794493164693
B650,59904.796603064293
B651,59906.778667137070
B652,59906.781007022029
B653,59906.785636794310
B654,59906.787486703281
B655,59906.788106672786
B656,59906.789166620612
B657,59907.780677433388
B658,59909.762496813288
B659,59909.767826538984
B660,59909.792805251462
B661,59909.795795097139
B662,59912.739650131218
B663,59912.760229027932
B664,59917.753962395502
B665,59917.771641387197
B666,59917.772431342113
B667,59919.730108558324
B668,59919.733148381696
B669,59919.748337498466
B670,59919.762346682845
B671,59921.737660581988
B672,59921.739820453913
B673,59921.764498988960
B674,59923.742850534079
B675,59931.713984260052
B676,60007.498919031081
B677,60007.510318630215
B678,60007.513138530987
B679,60007.523738157761
B680,60019.484170727730
B681,60019.484240726131
B682,60020.445249362936
B683,60021.473677620212
B684,60026.452888896660
B685,60026.454298875462
B686,60026.465148712145
B687,60030.465347640638
B688,60040.410599202434
B689,60044.394961157981
B690,60044.398711177775
B691,60044.412621250813
B692,60047.395301930243
B693,60047.411662070677
B694,60051.378235040182
B695,60054.382039175442
