event_id,toa_mjd_bary
20210928-237,59485.810274894000
20210928-238,59485.810400032002
20210928-239,59485.810477316998
20210928-240,59485.810521002997
20210928-241,59485.810769650001
20210928-242,59485.811057651001
20210928-243,59485.811097721999
20210928-244,59485.811122797997
20210928-245,59485.811259228001
20210928-246,59485.811366971997
20210928-247,59485.811405646004
20210928-248,59485.811780910000
20210928-249,59485.811867994002
20210928-250,59485.811890033998
20210928-251,59485.811909215001
20210928-252,59485.811972219002
20210928-253,59485.812219872998
20210928-254,59485.812658647003
20210928-255,59485.812759332999
20210928-256,59485.812771381003
20210928-257,59485.812885346000
20210928-258,59485.812893262002
20210928-259,59485.813135687000
20210928-260,59485.813188198001
20210928-261,59485.813226020000
20210928-262,59485.813359296997
20210928-263,59485.813400507999
20210928-264,59485.813455037001
20210928-265,59485.813566003002
20210928-266,59485.813638731001
20210928-267,59485.813658528998
20210928-268,59485.813678938001
20210928-269,59485.813753232003
20210928-270,59485.813901884998
20210928-271,59485.813993930002
20210928-272,59485.814021099002
20210928-273,59485.814026437998
20210928-274,59485.814139859001
20210928-275,59485.814193863996
20210928-276,59485.814261113002
20210928-277,59485.814319484998
20210928-278,59485.814423919997
20210928-279,59485.814495883002
20210928-280,59485.814529951997
20210928-281,59485.814625395004
20210928-282,59485.814634101000
20210928-283,59485.814787356001
20210928-284,59485.814890684996
20210928-285,59485.814963436998
20210928-286,59485.815125964997
20210928-287,59485.815362706002
20210928-288,59485.815383307003
20210928-289,59485.815756586999
20210928-290,59485.815812139001
20210928-291,59485.815937722997
20210928-292,59485.816100926997
20210928-293,59485.816228502998
20210928-294,59485.816309695001
20210928-295,59485.816316190001
20210928-296,59485.816469076002
20210928-297,59485.816504832997
20210928-298,59485.816712373002
20210928-299,59485.816741379997
20210928-300,59485.817083921000
20210928-301,59485.817197229997
20210928-302,59485.817402326000
20210928-303,59485.817501140002
20210928-304,59485.817538160001
20210928-305,59485.817847596998
20210928-306,59485.818114624999
20210928-307,59485.818152624001
20210928-308,59485.818263371002
20210928-309,59485.818417884999
20210928-310,59485.818426450001
20210928-311,59485.818491864004
20210928-312,59485.818575334997
20210928-313,59485.818850374002
20210928-314,59485.818857879000
20210928-315,59485.818897974998
20210928-316,59485.819084133000
20210928-317,59485.819547696003
20210928-318,59485.819671862002
20210928-319,59485.819677662999
20210928-320,59485.820385956002
20210928-321,59485.820503763003
20210928-322,59485.820576115999
20210928-323,59485.820684322003
20210928-324,59485.820721240001
20210928-325,59485.820743295000
20210928-326,59485.820751061001
20210928-327,59485.820981277000
20210928-328,59485.821003546997
20210928-329,59485.821098282999
20210928-330,59485.821215932003
20210928-331,59485.821350106999
20210928-332,59485.821468299000
20210928-333,59485.821513419003
20210928-334,59485.821650913000
20210928-335,59485.821699141001
20210928-336,59485.821725540001
20210928-337,59485.821731477998
20210928-338,59485.821774003998
20210928-339,59485.821822944003
20210928-340,59485.821889646002
20210928-341,59485.821948812001
20210928-342,59485.821982645997
20210928-343,59485.822361063001
20210928-344,59485.822529238001
20210928-345,59485.822534234001
20210928-346,59485.822559920998
20210928-347,59485.822573714999
20210928-348,59485.822582720997
20210928-349,59485.822603449997
20210928-350,59485.822624815002
20210928-352,59485.822947774999
20210928-353,59485.823171641001
20210928-354,59485.823204708002
20210928-355,59485.823329498999
20210928-356,59485.823357403999
20210928-357,59485.823423738002
20210928-358,59485.823455963997
20210928-359,59485.823463383000
20210928-360,59485.823534285002
20210928-361,59485.823619754003
20210928-362,59485.823666789998
20210928-363,59485.823856586001
20210928-364,59485.824029381001
20210928-365,59485.824106180000
20210928-366,59485.824440534001
20210928-367,59485.824508751000
20210928-368,59485.824538034001
20210928-369,59485.824579056003
