event_id,toa_mjd_bary
B00334,60375.131902995003
B00335,60375.132182392001
B00336,60375.132211379001
B00337,60375.132373421999
B00338,60375.132450028002
B00339,60375.132464734001
B00340,60375.132534386001
B00341,60375.132565385000
B00342,60375.132899837998
B00343,60375.133144432002
B00344,60375.133233218003
B00345,60375.133265372002
B00346,60375.133373477998
B00347,60375.133497928000
B00348,60375.133505733000
B00349,60375.133520060997
B00350,60375.133536813002
B00351,60375.133550749997
B00352,60375.133707348003
B00356,60375.133714039002
B00357,60375.133959077997
B00358,60375.133967695001
B00359,60375.134050781999
B00360,60375.134274098004
B00362,60375.134407521997
B00364,60375.134428669000
B00365,60375.134677672002
B00366,60375.134818514001
B00368,60375.134869838999
B00369,60375.134933898000
B00370,60375.135778737997
B00371,60375.135834104003
B00372,60375.135844121003
B00374,60375.135876280001
B00375,60375.136135282999
B00377,60375.136323992003
B00378,60375.136343175000
B00379,60375.136617493001
B00380,60375.136679921998
B00382,60375.136689439001
B00383,60375.136949867003
B00385,60375.136996822002
B00386,60375.137382549001
B00388,60375.137401565000
B00389,60375.137515437003
B00390,60375.137602447998
B00391,60375.137616346998
B00392,60375.137992935997
B00393,60375.138009535003
B00394,60375.138111669003
B00395,60375.138224645001
B00396,60375.138288176000
B00397,60375.138327549001
B00398,60375.138529561002
B00399,60375.138530976001
B00400,60375.138549768002
B00401,60375.138680217002
B00402,60375.138765611002
B00404,60375.138830147996
B00405,60375.138923576000
B00406,60375.138955417002
B00407,60375.139233526002
B00408,60375.139337850000
B00409,60375.139393393001
B00411,60375.139727000002
B00412,60375.139789052002
B00413,60375.139897248002
B00414,60375.139914947998
B00415,60375.140268827003
B00416,60375.140314839002
B00417,60375.140377973999
B00418,60375.140406797000
B00420,60375.140477273999
B00421,60375.140642352999
B00422,60375.140787096003
B00423,60375.140789534998
B00424,60375.140806265998
B00425,60375.140907289999
B00426,60375.141027215999
B00427,60375.141125171998
B00430,60375.141335517001
B00432,60375.141366579002
B00433,60375.141400426997
B00435,60375.141566594997
B00436,60375.141622096002
B00437,60375.142090038004
B00439,60375.142121331999
B00440,60375.142506700999
B00441,60375.142588039998
B00442,60375.142600779996
B00443,60375.142616785997
B00444,60375.142626184002
B00445,60375.142718438001
B00447,60375.142720409000
B00448,60375.142837567000
B00449,60375.142839893000
B00450,60375.142939705998
B00451,60375.143288327999
B00452,60375.143553283000
B00453,60375.143590239000
B00454,60375.143679262001
B00455,60375.143828339002
B00456,60375.143979877997
B00457,60375.144084865999
B00458,60375.144329212999
B00459,60375.144477875001
B00460,60375.144562447000
B00462,60375.144625153996
B00463,60375.144712870002
B00464,60375.145053963999
B00465,60375.145262990001
B00467,60375.145347705999
B00468,60375.145356471003
B00469,60375.145412721002
B00470,60375.145421567999
B00471,60375.145597142000
B00472,60375.145771190997
B00473,60375.145787922003
B00474,60375.145897456001
B00475,60375.146052390002
B00476,60375.146054570003
B00479,60375.146208981001
B00480,60375.146304989001
B00482,60375.146691522998
B00484,60375.146723708996
B00485,60375.146923736000
B00486,60375.147058433999
B00487,60375.147292606998
B00489,60375.147441136003
B00490,60375.147485242996
B00491,60375.147618604002
B00493,60375.147727410003
B00494,60375.147812759998
B00495,60375.148020533998
B00496,60375.148049561998
B00497,60375.148118513003
B00500,60375.148562009999
B00501,60375.148563233997
B00502,60375.148615578997
B00503,60375.148670075003
B00504,60375.149033479000
B00505,60375.149075578003
B00506,60375.149136902000
B00507,60375.149189823998
B00510,60375.149221950996
B00511,60375.149371282001
B00512,60375.149716211999
B00513,60375.149815730001
B00515,60375.149886719999
B00517,60375.149947293001
B00518,60375.149950063998
B00519,60375.149973371997
B00520,60375.150042683003
B00521,60375.150044048001
B00522,60375.150122462001
B00523,60375.150203400997
B00524,60375.150208512001
B00525,60375.150279221001
B00526,60375.150307570002
B00527,60375.150421352002
B00528,60375.150555154003
B00530,60375.150670201001
B00531,60375.150695509001
B00532,60375.150919817999
B00533,60375.150950825999
B00534,60375.151177715001
B00535,60375.151204371003
B00536,60375.151212956000
B00537,60375.151438943998
B00538,60375.151471329998
B00539,60375.151767411997
B00540,60375.151930492000
B00541,60375.152127483998
B00543,60375.152193440998
B00544,60375.152246536003
B00545,60375.152386895999
B00546,60375.152547236998
B00547,60375.152560781004
B00548,60375.152583228002
B00549,60375.152706895002
B00550,60375.152853573003
B00551,60375.153076009999
B00552,60375.153281350002
B00553,60375.153289241003
