mjd_start_bary,mjd_end_bary
59949.525249960148,59949.649403495052
59949.649432013444,59949.773793490625
59949.650135344862,59949.927466125169
59949.773845794531,59949.898135911448
59950.390758833273,59950.518377093656
59950.518399220709,59950.642469550497
59950.642672981659,59950.766823265280
59950.650068233612,59950.944747388312
59950.766836978357,59950.901595725161
59951.396897092833,59951.521575089035
59951.521688879489,59951.645914423898
59951.643057172092,59951.937747893768
59951.646028821022,59951.770139100008
59951.770190392614,59951.901076026043
59952.385673956160,59952.506848404228
59952.506904227470,59952.633088855669
59952.633115675075,59952.757604754661
59952.757684363394,59952.896812340819
59953.481055822391,59953.605323669683
59953.605350448634,59953.730169432492
59953.639451176758,59953.942810355562
59953.730237472097,59953.896545698139
59954.476669974203,59954.600530890501
59954.600550145471,59954.729685207210
59954.639395867147,59954.934075104073
59954.729915619529,59954.896355976380
59955.621957566356,59955.942676739920
59956.630582464510,59956.942621684713
59957.621824408569,59957.942555262933
59958.621758069065,59958.854636033830
59959.628635901092,59959.905966982151
59962.370800968092,59962.495084283910
59962.495104712012,59962.619369098466
59962.619398223658,59962.744345782747
59962.626714348422,59962.895354070031
59962.744355895651,59962.875628153648
59964.420895652242,59964.545601989732
59964.610960258520,59964.888280137508
59964.789073676729,59964.862783680641
59965.362346776725,59965.778974604029
59966.359516403201,59966.857099791756
59966.603875826891,59966.881195893402
59967.357369206278,59967.854952776470
59967.603835065427,59967.863772090212
59968.354527979667,59968.852111742635
59968.596804384702,59968.874136228980
59969.351675571022,59969.849292347390
59969.384323836493,59969.514770595903
59969.514776501841,59969.580567888283
59969.589808816869,59969.849757626245
59970.586262519872,59970.846223014603
59970.654927204916,59970.822275099730
59971.346006727639,59971.843591128432
59971.542622067020,59971.667704481384
59971.586211810965,59971.846172414611
59971.752072081035,59971.854715463138
59972.343167184699,59972.778832455588
59972.535627659207,59972.624425091853
59972.624200021637,59972.663723514772
59973.323388856501,59973.448672098923
59973.340328110215,59973.837912983166
59973.448682050061,59973.538424343642
59973.582605052783,59973.842577476848
59974.337489522288,59974.835074644740
59974.405092457499,59974.611600959448
59974.582544194913,59974.842516748911
59975.334639865243,59975.832258056529
59975.575551395421,59975.852872579810
59976.331813876684,59976.829399524206
59976.399426381788,59976.450848956476
59976.451012084741,59976.565492479429
59977.328965280234,59977.826562776419
59977.378120668312,59977.505849199057
59977.505866674292,59977.643474933364
59977.571995002210,59977.849270194994
59977.643483792337,59977.770500106795
59977.770510705202,59977.833557358936
59978.360650344766,59978.485271957172
59978.485287167096,59978.608761398689
59978.522228541508,59978.824164472164
59978.608773129738,59978.735978639510
59978.735988590692,59978.771726664301
59979.330733373892,59979.455183304693
59979.455191071473,59979.579602092468
59979.501072058047,59979.778393468077
59979.568359839162,59979.769308774608
59979.579610344670,59979.703922328808
59979.703928760646,59979.783956819461
59980.305041439133,59980.416377912472
59980.321163590648,59980.818750388382
59980.694043067801,59980.823148333431
59981.318328890462,59981.815915996325
59981.561312894504,59981.847315097482
59982.315483238279,59982.813103471068
59982.561245018194,59982.821218777884
