row_index,Telescope,obs_code,mjd_start,mjd_end,bandwidth,cent_f,low_c_l,high_c_h,rec_time_s,rec_time_m,rec_time_h,rec_time_d
240,stk,r117_59904_187,59904.43420360688,59904.44766425375,98.4375,1381.46484375,1332.24609375,1430.68359375,1162.9998896503819,19.38333149417303,0.32305552490288386,0.013460646870953493
241,stk,r117_59904_188,59904.46095129091,59904.55846286409,98.4375,1381.46484375,1332.24609375,1430.68359375,8424.999923212454,140.41666538687423,2.340277756447904,0.09751157318532933
242,stk,r117_59904_189,59904.55850703263,59904.682799495225,98.4375,1381.46484375,1332.24609375,1430.68359375,10738.868768513204,178.98114614188674,2.983019102364779,0.12429246259853247
243,wb,p11713,59904.58347222223,59905.026956012596,128.0,1271.0,1207.0,1335.0,36582.81221904326,609.7135369840544,10.161892283067573,0.42341217846114887
244,stk,r117_59904_190,59904.682808476085,59904.781935640625,98.4375,1381.46484375,1332.24609375,1430.68359375,8564.587016869336,142.74311694782227,2.379051949130371,0.0991271645470988
245,tr,f22l12,59904.77091435184,59905.03089119787,128.0,1414.0,1350.0,1478.0,21380.97279521171,356.34954658686183,5.939159109781031,0.24746496290754294
246,stk,r117_59904_191,59904.79600553207,59904.920158508176,98.4375,1381.46484375,1332.24609375,1430.68359375,10726.817135279998,178.78028558799997,2.979671426466666,0.12415297610277776
247,stk,r117_59904_192,59904.92016906676,59905.0458613298,98.4375,1381.46484375,1332.24609375,1430.68359375,10859.811526816338,180.9968587802723,3.0166143130045384,0.12569226304185577
248,stk,r117_59905_193,59905.04587014884,59905.1706428447,98.4375,1381.46484375,1332.24609375,1430.68359375,10780.36092238035,179.6726820396725,2.9945447006612085,0.12477269586088369
249,stk,r117_59905_194,59905.17066100867,59905.29455782803,98.4375,1381.46484375,1332.24609375,1430.68359375,10704.68519248534,178.41141987475567,2.973523664579261,0.12389681935746921
250,stk,r117_59905_195,59905.305052366624,59905.42919611915,98.4375,1381.46484375,1332.24609375,1430.68359375,10726.020218082704,178.76700363471173,2.979450060578529,0.12414375252410537
251,stk,r117_59905_196,59905.45366612883,59905.513922192666,98.4375,1381.46484375,1332.24609375,1430.68359375,5206.123915454373,86.76873192423955,1.446145532070659,0.06025606383627746
252,stk,r117_59905_197,59905.514136276935,59905.56615511284,98.4375,1381.46484375,1332.24609375,1430.68359375,4494.427422434092,74.90712370723486,1.2484520617872477,0.052018835907801986
253,tr,f22c10,59905.52091435184,59905.72880786449,256.0,4708.0,4580.0,4836.0,17025.97437284421,283.76623954740353,4.729437325790059,0.19705988857458578
254,wb,p11714,59905.52652777777,59906.02415462816,64.0,332.0,300.0,364.0,41192.27135006804,686.5378558344673,11.442297597241122,0.47676239988504676
